enrichment_id,ku_id,field,value,wikidata_qid,candidate_source_ids,candidate_revisions,candidate_accessed_dates,candidate_urls,pointer_status,evidence_marker
enr-02189,units/persons/carlo-cesare-malvasia,国籍／公民身份,意大利,Q1160847,src-c5c22ee0d68eb41a;src-dcbf3111a7966aa3,2527442273;2527442273,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q1160847;https://www.wikidata.org/wiki/Q1160847,candidate_sources_ambiguous,Wikidata P27；有参考
enr-02190,units/persons/carlo-cesare-malvasia,身份／职业标签,美術史學家；古物研究者,Q1160847,src-c5c22ee0d68eb41a;src-dcbf3111a7966aa3,2527442273;2527442273,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q1160847;https://www.wikidata.org/wiki/Q1160847,candidate_sources_ambiguous,Wikidata P106；有参考
enr-02191,units/persons/carlo-cesare-malvasia,教育／训练机构,博洛尼亞大學,Q1160847,src-c5c22ee0d68eb41a;src-dcbf3111a7966aa3,2527442273;2527442273,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q1160847;https://www.wikidata.org/wiki/Q1160847,candidate_sources_ambiguous,Wikidata P69；有参考
enr-02192,units/persons/carlo-cesare-malvasia,任职机构,博洛尼亞大學,Q1160847,src-c5c22ee0d68eb41a;src-dcbf3111a7966aa3,2527442273;2527442273,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q1160847;https://www.wikidata.org/wiki/Q1160847,candidate_sources_ambiguous,Wikidata P108；未列参考
enr-02193,units/persons/carlo-cesare-malvasia,成员身份,Accademia degli Umoristi；Accademia dei Gelati,Q1160847,src-c5c22ee0d68eb41a;src-dcbf3111a7966aa3,2527442273;2527442273,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q1160847;https://www.wikidata.org/wiki/Q1160847,candidate_sources_ambiguous,Wikidata P463；未列参考
enr-02259,units/persons/carlo-ridolfi,性别,男,Q776990,src-2c4be3bbeced36ca;src-6f1bf19a6de2ad7f,2521457463;2521457463,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q776990;https://www.wikidata.org/wiki/Q776990,candidate_sources_ambiguous,Wikidata P21；有参考
enr-02260,units/persons/carlo-ridolfi,出生日期,1594-04-01,Q776990,src-2c4be3bbeced36ca;src-6f1bf19a6de2ad7f,2521457463;2521457463,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q776990;https://www.wikidata.org/wiki/Q776990,candidate_sources_ambiguous,Wikidata P569；有参考
enr-02261,units/persons/carlo-ridolfi,去世日期,1658-09-05,Q776990,src-2c4be3bbeced36ca;src-6f1bf19a6de2ad7f,2521457463;2521457463,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q776990;https://www.wikidata.org/wiki/Q776990,candidate_sources_ambiguous,Wikidata P570；有参考
enr-02262,units/persons/carlo-ridolfi,出生地,洛尼戈,Q776990,src-2c4be3bbeced36ca;src-6f1bf19a6de2ad7f,2521457463;2521457463,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q776990;https://www.wikidata.org/wiki/Q776990,candidate_sources_ambiguous,Wikidata P19；有参考
enr-02263,units/persons/carlo-ridolfi,去世地,威尼斯,Q776990,src-2c4be3bbeced36ca;src-6f1bf19a6de2ad7f,2521457463;2521457463,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q776990;https://www.wikidata.org/wiki/Q776990,candidate_sources_ambiguous,Wikidata P20；有参考
enr-02264,units/persons/carlo-ridolfi,国籍／公民身份,威尼斯共和国,Q776990,src-2c4be3bbeced36ca;src-6f1bf19a6de2ad7f,2521457463;2521457463,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q776990;https://www.wikidata.org/wiki/Q776990,candidate_sources_ambiguous,Wikidata P27；有参考
enr-02265,units/persons/carlo-ridolfi,身份／职业标签,畫家；作家；美術史學家；雕刻师,Q776990,src-2c4be3bbeced36ca;src-6f1bf19a6de2ad7f,2521457463;2521457463,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q776990;https://www.wikidata.org/wiki/Q776990,candidate_sources_ambiguous,Wikidata P106；有参考
enr-02303,units/persons/charles-v,性别,男,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P21；有参考
enr-02304,units/persons/charles-v,出生日期,1500-02-24,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P569；有参考
enr-02305,units/persons/charles-v,去世日期,1558-09-21,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P570；有参考
enr-02306,units/persons/charles-v,出生地,根特,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P19；有参考
enr-02307,units/persons/charles-v,去世地,乌斯特修道院,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P20；有参考
enr-02308,units/persons/charles-v,国籍／公民身份,神聖羅馬帝國,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P27；未列参考
enr-02309,units/persons/charles-v,身份／职业标签,君主,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P106；有参考
enr-02310,units/persons/charles-v,父亲,腓力一世,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P22；有参考
enr-02311,units/persons/charles-v,母亲,胡安娜,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P25；有参考
enr-02312,units/persons/charles-v,配偶,葡萄牙公主伊莎貝拉,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P26；有参考
enr-02313,units/persons/charles-v,子女,费利佩二世；瑪利亞；Infante Fernando of Austria；胡安娜；Isabel of Castile；帕爾馬的瑪格麗塔；Tadea of Austria；奧地利的唐胡安,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P40；有参考；未列参考
enr-02314,units/persons/charles-v,荣誉／奖项,Knight of the Order of the Golden Fleece；阿尔坎塔拉勋章；卡拉特拉瓦騎士團；圣地牙哥骑士团；Knight of the Garter；illustrious son,Q32500,src-8fe071eaf1cc8e65;src-e8df4eb738b42ea7,2539745372;2539745372,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q32500;https://www.wikidata.org/wiki/Q32500,candidate_sources_ambiguous,Wikidata P166；有参考；未列参考
enr-02315,units/persons/christina-of-sweden,性别,女,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P21；有参考
enr-02316,units/persons/christina-of-sweden,出生日期,1626-12-07,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P569；有参考
enr-02317,units/persons/christina-of-sweden,去世日期,1689-04-09,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P570；有参考
enr-02318,units/persons/christina-of-sweden,出生地,斯德哥尔摩,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P19；有参考
enr-02319,units/persons/christina-of-sweden,去世地,罗马,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P20；有参考
enr-02320,units/persons/christina-of-sweden,国籍／公民身份,瑞典,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P27；有参考
enr-02321,units/persons/christina-of-sweden,身份／职业标签,艺术收藏家；君主；畫家；作家；哲學家,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P106；有参考；未列参考
enr-02322,units/persons/christina-of-sweden,父亲,古斯塔夫二世·阿道夫,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P22；未列参考
enr-02323,units/persons/christina-of-sweden,母亲,瑪麗亞·伊莉諾菈,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P25；未列参考
enr-02324,units/persons/christina-of-sweden,配偶,novalue,Q52937,src-876e328c28cb7c05;src-fff97153335346c4,2522239786;2522239786,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q52937;https://www.wikidata.org/wiki/Q52937,candidate_sources_ambiguous,Wikidata P26；未列参考
enr-02349,units/persons/claude-lorrain,性别,男,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P21；有参考
enr-02350,units/persons/claude-lorrain,出生日期,1600,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P569；有参考
enr-02351,units/persons/claude-lorrain,去世日期,1682-11-23,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P570；有参考
enr-02352,units/persons/claude-lorrain,出生地,沙马涅,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P19；有参考
enr-02353,units/persons/claude-lorrain,去世地,罗马,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P20；有参考
enr-02354,units/persons/claude-lorrain,国籍／公民身份,洛林公国,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P27；有参考
enr-02355,units/persons/claude-lorrain,身份／职业标签,畫家；素描家；版畫家,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P106；有参考；未列参考
enr-02356,units/persons/claude-lorrain,配偶,novalue,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P26；未列参考
enr-02357,units/persons/claude-lorrain,成员身份,聖路卡學院,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P463；有参考
enr-02358,units/persons/claude-lorrain,代表作,Village Fête；聖吳甦樂登船的海港；摩西被救出水處的風景；Sea Port at Sunset；Liber Veritatis,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P800；未列参考
enr-02359,units/persons/claude-lorrain,艺术或思想运动,古典主義,Q214074,src-6487d9c7b845ed06;src-6fc34971a807c4ea,2539087728;2539087728,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q214074;https://www.wikidata.org/wiki/Q214074,candidate_sources_ambiguous,Wikidata P135；未列参考
enr-02385,units/persons/clement-xi,性别,男,Q129967,src-43b6517963606fa1;src-7280a20c25fb3d6c,2533003723;2543439115,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q129967;https://www.wikidata.org/wiki/Q129967,candidate_sources_ambiguous,Wikidata P21；有参考
enr-02386,units/persons/clement-xi,出生日期,1649-07-23；1649-07-22,Q129967,src-43b6517963606fa1;src-7280a20c25fb3d6c,2533003723;2543439115,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q129967;https://www.wikidata.org/wiki/Q129967,candidate_sources_ambiguous,Wikidata P569；有参考
enr-02387,units/persons/clement-xi,去世日期,1721-03-19,Q129967,src-43b6517963606fa1;src-7280a20c25fb3d6c,2533003723;2543439115,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q129967;https://www.wikidata.org/wiki/Q129967,candidate_sources_ambiguous,Wikidata P570；有参考
enr-02388,units/persons/clement-xi,出生地,乌尔比诺,Q129967,src-43b6517963606fa1;src-7280a20c25fb3d6c,2533003723;2543439115,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q129967;https://www.wikidata.org/wiki/Q129967,candidate_sources_ambiguous,Wikidata P19；有参考
enr-02389,units/persons/clement-xi,去世地,罗马,Q129967,src-43b6517963606fa1;src-7280a20c25fb3d6c,2533003723;2543439115,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q129967;https://www.wikidata.org/wiki/Q129967,candidate_sources_ambiguous,Wikidata P20；有参考
enr-02390,units/persons/clement-xi,身份／职业标签,Catholic priest；天主教会主教,Q129967,src-43b6517963606fa1;src-7280a20c25fb3d6c,2533003723;2543439115,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q129967;https://www.wikidata.org/wiki/Q129967,candidate_sources_ambiguous,Wikidata P106；有参考；未列参考
enr-02391,units/persons/clement-xi,配偶,novalue,Q129967,src-43b6517963606fa1;src-7280a20c25fb3d6c,2533003723;2543439115,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q129967;https://www.wikidata.org/wiki/Q129967,candidate_sources_ambiguous,Wikidata P26；未列参考
enr-02392,units/persons/clement-xi,教育／训练机构,宗座额我略大学,Q129967,src-43b6517963606fa1;src-7280a20c25fb3d6c,2533003723;2543439115,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q129967;https://www.wikidata.org/wiki/Q129967,candidate_sources_ambiguous,Wikidata P69；有参考
enr-02436,units/persons/denis-mahon,性别,男,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P21；有参考
enr-02437,units/persons/denis-mahon,出生日期,1910-11-08,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P569；有参考
enr-02438,units/persons/denis-mahon,去世日期,2011-04-24,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P570；有参考
enr-02439,units/persons/denis-mahon,出生地,倫敦,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P19；有参考
enr-02440,units/persons/denis-mahon,去世地,卡多根广场,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P20；有参考
enr-02441,units/persons/denis-mahon,国籍／公民身份,英国,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P27；有参考
enr-02442,units/persons/denis-mahon,身份／职业标签,美術史學家；艺术收藏家,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P106；有参考
enr-02443,units/persons/denis-mahon,父亲,John FitzGerald Mahon,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P22；有参考
enr-02444,units/persons/denis-mahon,母亲,Lady Alice Browne,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P25；有参考
enr-02445,units/persons/denis-mahon,教育／训练机构,牛津大学基督堂学院；科陶德藝術學院；伊顿公学,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P69；有参考；未列参考
enr-02446,units/persons/denis-mahon,荣誉／奖项,大英帝國司令勳章；英国科学院院士；下級勳位爵士；Companion of Honour,Q3705445,src-340b22b44e4b5a2f;src-eca39aff30bb198e,2536263887;2536263887,2026-09-11;2026-09-10,https://www.wikidata.org/wiki/Q3705445;https://www.wikidata.org/wiki/Q3705445,candidate_sources_ambiguous,Wikidata P166；有参考；未列参考
enr-02599,units/persons/filippo-baldinucci,性别,男,Q979574,src-32102681d4a92c2b;src-bfe85c064379c90a,2522046216;2522046216,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q979574;https://www.wikidata.org/wiki/Q979574,candidate_sources_ambiguous,Wikidata P21；有参考
enr-02600,units/persons/filippo-baldinucci,出生日期,1625-06-03,Q979574,src-32102681d4a92c2b;src-bfe85c064379c90a,2522046216;2522046216,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q979574;https://www.wikidata.org/wiki/Q979574,candidate_sources_ambiguous,Wikidata P569；有参考
enr-02601,units/persons/filippo-baldinucci,去世日期,1697-01-01,Q979574,src-32102681d4a92c2b;src-bfe85c064379c90a,2522046216;2522046216,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q979574;https://www.wikidata.org/wiki/Q979574,candidate_sources_ambiguous,Wikidata P570；有参考
enr-02602,units/persons/filippo-baldinucci,出生地,佛罗伦萨,Q979574,src-32102681d4a92c2b;src-bfe85c064379c90a,2522046216;2522046216,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q979574;https://www.wikidata.org/wiki/Q979574,candidate_sources_ambiguous,Wikidata P19；有参考
enr-02603,units/persons/filippo-baldinucci,去世地,佛罗伦萨,Q979574,src-32102681d4a92c2b;src-bfe85c064379c90a,2522046216;2522046216,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q979574;https://www.wikidata.org/wiki/Q979574,candidate_sources_ambiguous,Wikidata P20；有参考
enr-02604,units/persons/filippo-baldinucci,国籍／公民身份,意大利,Q979574,src-32102681d4a92c2b;src-bfe85c064379c90a,2522046216;2522046216,2026-09-10;2026-09-11,https://www.wikidata.org/wiki/Q979574;https://www.wikidata.org/wiki/Q979574,candidate_sources_ambiguous,Wikidata P27；有参考
