source_id,kind,label,version,accessed_date,citation,url
haskell-1980-rev-ed,book,"Francis Haskell, Patrons and Painters, revised and enlarged ed. (New Haven and London: Yale University Press, 1980; this printing 2006), ch. 1, pp. 17.",,,"Francis Haskell, Patrons and Painters, revised and enlarged ed. (New Haven and London: Yale University Press, 1980; this printing 2006), ch. 1, pp. 17.",https://www.fondazione1563.it/pdf/La-Riscoperta-Del-Seicento.pdf
src-001661abd0baedb5,external,"Wikidata, Q3894101, revision 2513852338. https://www.wikidata.org/wiki/Q3894101. Accessed 2026-09-10.",,,"Wikidata, Q3894101, revision 2513852338. https://www.wikidata.org/wiki/Q3894101. Accessed 2026-09-10.",https://www.wikidata.org/wiki/Q3894101
src-00716af58395a8d4,external,"Maria Concetta Calabrese, “Ruffo, Antonio,” Dizionario Biografico degli Italiani, vol. 89 (2017), Treccani. https://www.treccani.it/enciclopedia/antonio-ruffo_(Dizionario-Biografico)/. Accessed 2026-09-11.",,,"Maria Concetta Calabrese, “Ruffo, Antonio,” Dizionario Biografico degli Italiani, vol. 89 (2017), Treccani. https://www.treccani.it/enciclopedia/antonio-ruffo_(Dizionario-Biografico)/. Accessed 2026-09-11.",https://www.treccani.it/enciclopedia/antonio-ruffo_(Dizionario-Biografico)/
src-00769adaa9f8db31,external,"Wikipedia (en), Filippo Baldinucci, revision 1363682752. https://en.wikipedia.org/wiki/Filippo_Baldinucci. Accessed 2026-09-10.",,,"Wikipedia (en), Filippo Baldinucci, revision 1363682752. https://en.wikipedia.org/wiki/Filippo_Baldinucci. Accessed 2026-09-10.",https://en.wikipedia.org/wiki/Filippo_Baldinucci
src-00809e6dd9c338fd,external,"Wikipedia (en), The Incredulity of Saint Thomas (Caravaggio), revision 1361428878. https://en.wikipedia.org/wiki/The_Incredulity_of_Saint_Thomas_(Caravaggio). Accessed 2026-09-12.",,,"Wikipedia (en), The Incredulity of Saint Thomas (Caravaggio), revision 1361428878. https://en.wikipedia.org/wiki/The_Incredulity_of_Saint_Thomas_(Caravaggio). Accessed 2026-09-12.",https://en.wikipedia.org/wiki/The_Incredulity_of_Saint_Thomas_(Caravaggio)
src-00a994e05c879009,external,"Wikidata, Q807815, revision 2491112480. https://www.wikidata.org/wiki/Q807815. Accessed 2026-09-11.",,,"Wikidata, Q807815, revision 2491112480. https://www.wikidata.org/wiki/Q807815. Accessed 2026-09-11.",https://www.wikidata.org/wiki/Q807815
src-00fa72506147a8db,external,"Silvano Giordano, PAOLO V, papa, Dizionario Biografico degli Italiani, vol.81 (2014). https://www.treccani.it/enciclopedia/papa-paolo-v_(Dizionario-Biografico)/. Accessed 2026-09-10.",,,"Silvano Giordano, PAOLO V, papa, Dizionario Biografico degli Italiani, vol.81 (2014). https://www.treccani.it/enciclopedia/papa-paolo-v_(Dizionario-Biografico)/. Accessed 2026-09-10.",https://www.treccani.it/enciclopedia/papa-paolo-v_(Dizionario-Biografico)/
src-01153e0b51090d58,external,"University of Cambridge, About the University. https://www.cam.ac.uk/about-the-university. Accessed 2026-09-15.",,,"University of Cambridge, About the University. https://www.cam.ac.uk/about-the-university. Accessed 2026-09-15.",https://www.cam.ac.uk/about-the-university
src-011ac2dbd7913eba,external,"Vincenzo Ruffo, ‘Galleria Ruffo nel secolo XVII in Messina,’ Bollettino d’Arte 10, fasc. 5–6 (1916), pp. 165–192, printed pp. 168–169. Internet Archive scan and OCR: https://archive.org/stream/bollettinodarte10italuoft/bollettinodarte10italuoft_djvu.txt. Accessed 2026-09-25.",,,"Vincenzo Ruffo, ‘Galleria Ruffo nel secolo XVII in Messina,’ Bollettino d’Arte 10, fasc. 5–6 (1916), pp. 165–192, printed pp. 168–169. Internet Archive scan and OCR: https://archive.org/stream/bollettinodarte10italuoft/bollettinodarte10italuoft_djvu.txt. Accessed 2026-09-25.",https://archive.org/stream/bollettinodarte10italuoft/bollettinodarte10italuoft_djvu.txt
src-015d1e7c0af378c7,external,"Wikidata, Q506483, revision 2540214586. https://www.wikidata.org/wiki/Q506483. Accessed 2026-09-10.",,,"Wikidata, Q506483, revision 2540214586. https://www.wikidata.org/wiki/Q506483. Accessed 2026-09-10.",https://www.wikidata.org/wiki/Q506483
src-01634381ddcb8943,external,"Wikipedia (en), ‘Orazio Ludovisi,’ revision 1301893644. https://en.wikipedia.org/wiki/Orazio_Ludovisi. Accessed 2026-09-25.",,,"Wikipedia (en), ‘Orazio Ludovisi,’ revision 1301893644. https://en.wikipedia.org/wiki/Orazio_Ludovisi. Accessed 2026-09-25.",https://en.wikipedia.org/wiki/Orazio_Ludovisi
src-016b2d8ee85cc50c,external,"Michele Simonetto, “Gianfranco Torcellan (1938-1966),” Rivista storica italiana 120, no. 1 (2008), pp. 132-182. https://www.openstarts.units.it/bitstream/10077/15487/1/Riviste-storiche-full-text.pdf. Accessed 2026-09-25.",,,"Michele Simonetto, “Gianfranco Torcellan (1938-1966),” Rivista storica italiana 120, no. 1 (2008), pp. 132-182. https://www.openstarts.units.it/bitstream/10077/15487/1/Riviste-storiche-full-text.pdf. Accessed 2026-09-25.",https://www.openstarts.units.it/bitstream/10077/15487/1/Riviste-storiche-full-text.pdf
src-017c4573ce6f3320,external,"Wikipedia (en), Massacre of the Innocents (Reni), revision 1361282196. https://en.wikipedia.org/wiki/Massacre_of_the_Innocents_(Reni). Accessed 2026-09-11.",,,"Wikipedia (en), Massacre of the Innocents (Reni), revision 1361282196. https://en.wikipedia.org/wiki/Massacre_of_the_Innocents_(Reni). Accessed 2026-09-11.",https://en.wikipedia.org/wiki/Massacre_of_the_Innocents_(Reni)
src-018d7408ec539e87,external,"Wikipédia (pt), Palazzo della Minerva, https://pt.wikipedia.org/wiki/Palazzo_della_Minerva. Accessed 2026-09-25.",,,"Wikipédia (pt), Palazzo della Minerva, https://pt.wikipedia.org/wiki/Palazzo_della_Minerva. Accessed 2026-09-25.",https://pt.wikipedia.org/wiki/Palazzo_della_Minerva
